count	journal	IF
202	Ecology Letters	17.5
198	Ecology	4.849
186	PLoS ONE	4.09
181	The American Naturalist	4.736
156	Proceedings of the National Academy of Sciences of the United States of America	9.737
135	Oikos	3.329
132	Trends in Ecology & Evolution	15.748
123	Proceedings of the Royal Society B: Biological Sciences	5.683
120	Evolution	4.864
119	Nature	36.28
108	Science	31.027
101	Journal of Evolutionary Biology	3.479
71	Journal of Animal Ecology	4.841
46	Journal of Biogeography	4.863
45	Philosophical Transactions of the Royal Society B: Biological Sciences	6.401
45	Ecography	5.124
39	Journal of Theoretical Biology	2.496
39	Journal of Ecology	5.431
38	Biology Letters	3.348
33	Global Ecology and Biogeography	7.223
32	PLoS Computational Biology	4.687
32	PLoS Biology	12.69
31	Applied & Environmental Microbiology	3.678
29	New Phytologist	6.645
27	Functional Ecology	4.861
26	Theoretical Ecology	2.052
26	Biological Journal of the Linnean Society	2.413